1433 12928
540.59 24.0354 11
27.3792 24.8764 11
31.8825 36.5681 4
32.7548 39.633 3
566.836 39.5614 21
36.518 47.5542 4
32.488 60.7066 21
32.5589 64.381 11
620.669 82.9971 5
620.687 83.9294 1
511.908 95.9242 58
620.615 91.1628 1
520.609 100.866 21
620.742 101.699 6
620.668 111.204 6
621.191 125.26 2
589.048 126.746 20
620.83 134.129 8
451.352 134.971 28
620.679 143.767 6
620.594 154.347 1
450.711 156.778 88
620.128 167.318 8
427.981 178.741 88
425.861 186.861 34
619.47 192.677 11
94.9882 198.135 104
85.5142 200.741 55
619.307 200.906 5
465.588 207.437 53
83.9996 209.71 7
70.5637 212.936 83
106.999 212.231 30
474.872 219.519 54
622.544 222.174 4
287.49 231.947 109
289.203 222.966 5
248.282 231.014 74
437.935 229.049 155
96.4123 236.275 31
274.292 227.983 37
339.517 238.842 140
85.5785 234.529 19
293.878 240.349 26
443.496 235.081 4
38.8113 235.508 8
352.299 240.101 42
358.628 234.323 15
374.823 244.67 95
380.409 237.266 1
34.1685 242.482 17
244.844 238.87 35
341.722 239.647 6
233.783 239.925 6
289.988 247.625 26
111.695 247.269 113
231.638 247.72 19
618.574 249.984 10
427.246 252.344 22
217.496 256.068 45
618.898 255.763 2
203.335 261.855 98
513.802 268.979 72
532.011 271.956 95
460.333 275.826 92
538.48 280.422 27
175.017 290.272 33
540.059 289.548 1
617.142 292.649 7
455.052 296.047 50
450.534 295.991 1
618.277 297.189 2
618.439 308.318 8
150.506 310.206 96
33.3607 310.852 5
44.7432 311.852 14
150.54 318.484 3
618.511 314.331 1
424.807 318.942 57
525.865 318.131 5
440.549 324.611 44
534.628 320.894 6
618.502 323.741 7
37.6019 331.653 83
50.3619 331.3 7
511.216 328.461 57
33.6209 335.283 4
462.329 334.563 7
617.962 338.787 7
45.7498 337.983 4
617.384 342.947 10
526.949 346.299 40
527.37 345.913 31
69.9673 351.136 61
514.28 350.231 6
485.294 351.925 38
552.867 351.944 22
178.907 357.808 78
615.696 363.051 5
569.348 372.586 66
563.987 380.705 48
570.616 388.291 28
559.285 389.458 8
570.173 389.91 10
567.369 391.703 2
252.326 393.698 90
106.256 413.988 34
150.068 406.146 46
321.878 422.337 72
87.5686 431.373 19
339.462 427.628 44
332.302 431.153 20
138.766 429.316 25
28.4352 433.289 1
87.921 434.605 19
