637 11278
339.713 3.80314 1
76.1599 4.95484 11
158.421 5.02604 5
296.904 7.44512 4
30.1265 14.659 35
345.139 20.7899 23
83.1667 8.70528 6
315.063 8.16084 5
161.477 16.0898 53
331.782 12.5127 9
55.8724 11.6328 18
129.055 15.6691 45
353.473 16.148 3
25.669 15.4728 14
34.377 13.8249 4
310.915 29.8908 218
158.623 21.035 6
9.82744 16.7524 13
331.405 22.983 9
345.335 21.5038 13
351.16 20.6449 2
323.216 37.6214 148
236.154 29.6041 60
351.159 26.286 4
224.145 26.3722 11
237.114 28.5012 3
209.867 27.4899 26
33.2222 29.3889 3
308.365 40.2864 15
264.446 38.0757 23
148.083 35.3661 20
267.872 40.153 10
340.78 46.0503 31
282.726 46.9297 26
218.181 57.7078 630
187.492 59.0933 370
190.949 54.2817 26
201.799 49.1148 2
214.855 52.3312 3
173.364 72.2563 228
143.237 67.9472 678
300.059 54.1968 38
188.742 61.431 7
225.627 55.5965 5
185.289 52.7107 3
353.253 54.8933 1
108.59 64.0791 503
86.2269 67.8543 129
90.8679 79.1168 80
202.306 73.9975 121
337.805 59.4329 33
137.468 57.924 18
150.929 62.1873 5
98.155 77.2894 132
89.9091 58.7785 2
147.686 59.3026 2
171.309 62.3323 10
172.689 59.7899 3
103.526 60.4539 2
224.159 66.7847 6
115.495 65.2925 7
79.3936 63.0202 2
120.122 63.82 1
4.78298 67.1668 4
55.601 65.9111 28
220.751 75.6238 13
221.368 66.7212 6
135.092 75.2091 48
335.401 69.8851 23
54.8786 74.1479 41
95.5723 72.3067 1
340.204 72.0615 2
82.4997 80.3457 27
165.156 86.7024 57
224.753 76.862 5
118.283 83.0267 35
147.25 71.13 4
120.239 74.3105 3
209.266 74.2803 2
186.393 72.7882 38
106.346 77.5221 44
178.701 72.4252 9
180.475 78.1167 3
170.7 76.7437 2
90.9363 79.049 3
151.464 80.0258 4
85.8667 77.5654 8
88.4043 84.0216 6
100.752 82.0679 1
84.746 83.1759 2
352.838 93.1643 3
61.6305 91.8464 32
244.851 93.3649 122
262.34 100.521 15
176.753 105.047 127
150.891 117.764 736
191.974 105.093 119
278.716 103.606 20
353.383 108.808 4
304.755 107.591 6
62.782 109.588 130
147.753 127.794 877
322.665 110.347 5
122.448 113.074 54
336.602 115.029 10
340.71 111.629 13
142.147 117.403 9
131.35 133.381 36
148.075 126.764 13
182.29 137.125 117
166.426 121.762 5
168.988 119.849 1
158.1 124.232 4
179.065 125.088 1
121.894 125.67 4
353.424 127.776 2
154.243 128.196 3
133.638 135.664 13
133.086 130.473 1
13.3558 135.799 9
348.051 130.875 16
134.496 143.225 8
170.268 139.785 84
166.656 137.136 1
59.8679 137.314 30
188.026 158.238 192
13.4819 143.572 16
145.344 139.883 4
126.247 146.881 39
124.932 147.564 3
348.134 155.734 13
60.8966 159.99 25
340.266 158.833 22
332.276 159.77 5
324.79 161.087 19
314.334 165.586 16
300.778 164.853 32
296.78 165.342 2
290.195 166.656 13
276.4 168.796 13
61.3368 180.543 181
50.1852 173.364 5
267.216 170.995 54
189.365 182.73 322
206.658 180.702 19
196.046 179.461 12
63.3651 184.096 17
125.305 187.412 204
190.813 190.345 10
170.944 188.475 21
61.564 193.583 11
61.959 206.579 61
322.367 214.307 50
58.3323 221.39 39
274.488 236.507 61
63.9045 250.6 140
259.962 244.491 28
70.7912 248.146 31
249.029 249.381 47
60.368 254.117 2
75.9613 264.194 35
61.0791 276.555 20
5.07434 2.60137 1
36.3618 2.21311 1
57.8786 5.12958 3
96.9188 2.22641 1
102.066 2.16249 2
113.063 2.30606 2
333.033 2.21369 2
352.238 2.21981 3
49.5868 2.8699 1
80.6798 3.24438 1
137.735 5.72414 3
25.364 6.64742 1
289.649 6.35312 2
4.47218 18.1243 5
77.3909 11.5219 2
300.955 14.14 1
140.224 20.592 6
139.867 20.2273 2
311.431 21.822 6
334.618 22.7305 4
214.487 29.9949 2
40.6336 31.4327 5
160.171 32.571 32
4.86013 32.2268 2
184.766 29.5679 7
328.295 42.6974 11
253.243 29.7134 16
132.336 37.5709 30
128.755 37.5285 6
4.88282 38.3826 1
119.708 39.7182 13
107.134 38.2065 44
50.7008 42.5154 22
36.3754 45.0552 29
107.931 41.8309 1
35.0515 43.6722 21
18.2584 44.2706 8
331.781 43.787 4
11.6644 44.315 2
83.9354 44.4031 9
70.1649 46.2088 71
340.392 45.8145 2
51.8985 51.7125 10
223.373 49.7927 1
34.3934 56.9254 7
52.284 54.7548 1
15.4939 56.9012 9
178.16 57.3713 1
341.993 56.2429 3
27.7083 61.2876 5
60.2975 56.1717 8
138.143 59.6818 4
19.7248 59.6969 1
342.409 60.2043 1
190.431 64.0672 5
323.847 67.5603 3
20.2887 68.7204 10
126.648 70.6185 2
4.77682 72.6245 1
159.304 73.6801 1
143.146 78.7927 6
113.786 79.1703 2
126.265 86.5082 7
242.06 86.2569 5
344.319 94.1553 21
147.091 95.5817 22
80.262 97.524 4
70.7919 98.6257 5
315.974 103.83 5
5.02714 103.957 1
123.375 102.159 25
168.049 104.547 5
137.375 103.238 10
67.1709 102.369 14
142.64 109.636 4
346.867 111.982 5
59.1576 117.043 2
135.137 125.778 1
348.751 129.744 1
5.009 135.211 3
167.461 129.616 4
163.371 131.329 1
347.894 140.158 2
192.797 146.228 2
183.425 146.481 1
163.353 152.834 66
155.378 161.519 18
14.0041 151.52 2
8.61207 153.02 1
315.096 157.619 3
306.535 158.631 8
294.836 160.595 4
199.173 160.845 18
129.307 163.386 99
242.12 168.648 23
306.964 166.628 1
37.3578 168.743 13
132.638 176.71 57
251.212 178.989 64
69.2043 175.802 13
147.563 174.654 3
245.858 176.499 1
236.947 177.039 11
216.062 178.484 6
204.734 178.274 5
126 183.464 3
173.955 180.904 51
107.521 183.293 11
96.3651 181.254 8
144.634 183.95 14
177.526 194.728 30
347.051 199.563 2
178.95 202.893 13
156.987 207.281 17
61.6041 211.496 1
315.348 217.159 34
304.967 223.485 4
44.067 225.175 32
5.21991 225.686 2
283.995 236.016 29
267.074 240.883 9
261.635 239.523 1
267.694 243.426 2
77.8038 244.739 5
66.6816 247.87 2
79.8546 253.602 2
241.773 254.149 4
344.822 251.69 10
233.9 256.715 11
121.304 255.116 3
173.165 255.095 4
146.009 255.921 26
151.663 255.151 1
160.788 255.855 5
167.31 255.817 6
214.953 257.464 39
334.378 258.112 15
329.831 260.814 5
262.179 268.593 3
318.72 270.781 5
5.07051 274.339 2
38.2586 275.943 6
107.858 22.3527 22
156.076 19.2215 1
162.245 35.2602 1
69.1268 46.756 1
197.721 61.4955 1
