1371 11278
339.713 3.80314 1
72.5191 4.42085 1
158.049 4.9461 2
294.845 6.92994 2
31.7639 7.72156 1
72.6833 7.67199 2
346.405 8.40618 5
83.843 8.97967 3
315.063 8.16084 4
298.209 9.37533 2
153.955 12.3396 3
159.008 10.2302 1
163.429 10.7004 6
331.782 12.5127 8
55.7638 14.1628 13
128.058 15.7491 33
164.461 13.9973 17
353.389 11.8761 2
22.5079 13.0844 5
34.2941 13.5579 12
305.009 17.7981 14
26.4324 17.9032 16
353.473 16.148 2
161.723 19.4007 14
10.3142 19.4144 5
306.659 18.3379 18
328.917 19.6306 3
344.346 21.5657 18
305.282 23.692 5
351.16 20.6449 4
306.393 31.9105 22
321.438 24.7369 37
231.749 25.6021 16
351.159 26.286 4
224.091 26.198 4
239.865 26.9332 2
210.342 27.4628 16
29.2478 29.9452 1
324.426 30.9819 24
305.638 32.2907 15
322.379 38.4939 15
256.933 34.9391 6
148.666 35.1775 15
310.331 35.4879 23
266.937 38.6256 11
322.6 38.4959 2
339.422 37.5225 6
267.934 40.1112 10
305.453 42.0224 21
320.255 44.3075 46
271.358 41.6966 1
309.066 46.1289 5
277.674 44.63 4
283.831 47.5616 18
220.62 53.8909 239
286.202 48.3158 3
206.959 51.0482 89
191.493 53.9968 104
201.7 51.4545 20
213.226 49.6074 16
172.698 56.7565 91
155.496 59.0003 133
296.268 52.8232 2
188.92 57.7878 25
225.627 55.5965 13
212.393 59.0362 38
300.059 54.1968 8
185.142 53.9386 16
353.253 54.8933 1
123.588 58.1134 107
120.352 57.9841 12
302.85 59.1458 14
108.985 59.7943 86
98.4289 61.3118 49
115.209 56.9694 5
200.896 57.4533 30
333.958 59.0107 24
131.78 56.4249 29
159.624 57.6489 1
85.5105 64.3569 148
91.3867 59.1293 17
147.109 57.6759 19
167.321 60.0947 13
154.464 62.6968 53
174.451 61.7476 20
103.709 59.439 28
223.905 69.62 82
203.253 62.424 6
112.518 65.103 37
76.6986 63.3964 16
118.551 63.8306 22
4.78298 67.1668 4
54.9121 66.5329 8
200.938 68.3849 16
215.363 65.8796 9
225.066 69.5186 37
139.559 68.5032 52
331.065 67.9016 2
335.101 69.9015 7
55.0603 73.3912 35
95.2488 72.473 36
138.604 75.6421 39
340 71.4708 12
79.0185 71.8901 15
167.925 73.6681 70
227.355 73.0294 3
132.25 79.1721 19
148.428 73.8866 68
123.111 76.84 32
207.223 76.9155 41
192.458 76.3328 117
106.957 77.4373 81
186.987 78.2332 24
180.405 78.7793 32
133.187 76.9145 3
174.439 78.9245 21
98.5934 78.8051 10
164.04 81.6716 29
156.173 79.3665 17
82.9393 78.9979 58
87.6626 81.1381 45
97.4598 86.6614 28
95.7165 87.9282 10
86.6742 85.6357 22
353.34 93.5968 2
56.4278 96.2083 2
243.286 97.5672 4
257.261 99.9166 6
262.651 100.527 4
176.09 102.235 35
156.73 101.725 29
185.814 102.982 96
278.237 103.48 13
353.42 105.178 2
304.755 107.591 5
61.0251 109.96 65
353.383 108.808 1
149.136 111.987 86
322.665 110.347 4
136.211 109.413 14
334.08 111.738 4
340.71 111.629 13
353.411 112.418 1
141.617 121.62 138
147.336 116.628 9
131.097 121.381 148
158.089 120.618 168
174.085 122.642 102
165.106 121.885 29
166.076 134.286 24
149.467 124.419 30
145.593 125.487 13
138.259 128.148 30
160.393 131.679 56
183.133 127.687 23
121.757 125.958 13
146.279 129.777 13
353.424 127.776 2
153.612 130.256 8
131.18 135.008 137
128.667 135.758 28
10.9502 131.985 4
353.416 133.41 3
134.767 138.325 18
177.829 141.176 156
164.455 142.648 34
57.0653 139.697 7
186.195 141.018 143
13.405 138.35 2
170.268 139.785 1
145.314 139.734 6
174.371 140.714 1
188.222 142.926 5
57.1507 141.862 1
13.4819 143.572 9
128.173 153.237 40
127.662 146.01 30
124.932 147.564 10
353.327 150.381 2
57.6886 154.908 5
353.395 154.968 1
341.119 161.463 14
332.276 159.77 5
324.91 161.051 8
318.847 162.088 4
300.778 164.853 20
296.944 165.016 3
290.127 166.495 7
286.326 167.278 1
276.399 168.767 8
57.8873 168.828 7
49.6244 169.833 32
268.149 170.283 27
63.0876 168.671 20
183.357 172.818 63
208.623 175.128 3
197.836 179.029 77
61.5733 181.737 9
118.034 185.5 54
187.94 190.162 97
171.084 188.563 31
61.2495 189.168 9
59.3415 205.144 18
62.0929 206.283 10
328.529 215.452 5
57.9219 222.245 21
59.4736 222.412 2
274.488 236.507 41
59.4303 242.593 37
260.624 247.269 20
